"","entry_exit_provider_program_type_code","ee_uid","client_id","client_age_at_entry","client_age_at_exit","client_gender","client_primary_race","client_ethnicity","client_veteran_status"
"1","PH - Permanent Supportive Housing (disability required for entry) (HUD)",591342,304170,36,38,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"2","PH - Permanent Supportive Housing (disability required for entry) (HUD)",593029,377856,47,51,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"3","PH - Permanent Supportive Housing (disability required for entry) (HUD)",593136,364380,45,48,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"4","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796088,376205,53,57,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"5","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796089,376206,11,15,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"6","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796295,294940,37,41,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"7","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796345,376273,47,52,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"8","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796386,202961,46,51,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","Yes (HUD)"
"9","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796523,354663,43,47,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"10","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796526,372493,50,54,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"11","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796527,376994,28,33,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"12","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796614,303499,61,63,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"13","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796639,378035,50,54,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"14","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796643,222261,48,52,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"15","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796647,306323,41,43,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"16","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796648,318535,50,50,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"17","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796654,376726,57,61,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"18","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796656,304478,53,57,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"19","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796659,332822,33,34,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"20","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796700,311478,47,50,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"21","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796711,376568,61,64,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"22","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796732,339799,28,30,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"23","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796739,377973,50,55,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"24","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796836,386661,42,43,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"25","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796837,386661,42,43,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"26","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796844,386661,43,43,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"27","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796898,362142,57,62,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"28","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796920,376995,33,37,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"29","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796923,376430,36,40,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"30","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796929,333318,46,50,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"31","PH - Permanent Supportive Housing (disability required for entry) (HUD)",842969,389569,52,53,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"32","PH - Permanent Supportive Housing (disability required for entry) (HUD)",843280,313852,58,60,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"33","PH - Permanent Supportive Housing (disability required for entry) (HUD)",843342,343205,45,47,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"34","PH - Permanent Supportive Housing (disability required for entry) (HUD)",959430,468022,9,14,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"35","PH - Permanent Supportive Housing (disability required for entry) (HUD)",959431,468021,10,15,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"36","PH - Permanent Supportive Housing (disability required for entry) (HUD)",1003185,300855,46,50,"Female","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
"37","PH - Permanent Supportive Housing (disability required for entry) (HUD)",1003186,468179,19,23,"Male","Black or African American (HUD)","Non-Hispanic/Non-Latino (HUD)","No (HUD)"
