"","entry_exit_provider_program_type_code","ee_uid","client_id","recordset_id_4110_recordset_id","start_date_4111","a_history_of_housing_and_homelessness_4177","b_risks_4178","c_socialization_daily_functioning_4179","d_wellness_4180","general_information_4176","pre_screen_total_4181","grand_total_adjusted_for_v2_0_4671","date_added_4110_date_added"
"1","Other (HUD)",701140,413264,2697454,"10/7/2015",1,3,4,4,0,12,12,"10/7/2015"
"2","PH - Permanent Supportive Housing (disability required for entry) (HUD)",731309,413264,2697454,"10/7/2015",1,3,4,4,0,12,12,"10/7/2015"
"3","Emergency Shelter (HUD)",718260,418253,3147160,"12/4/2015",1,2,2,2,0,7,7,"12/4/2015"
"4","Emergency Shelter (HUD)",741865,311478,3430946,"2/9/2016",1,3,2,7,0,13,11,"2/9/2016"
"5","Emergency Shelter (HUD)",815847,311478,3430946,"2/9/2016",1,3,2,7,0,13,11,"2/9/2016"
"6","Emergency Shelter (HUD)",842397,311478,3430946,"2/9/2016",1,3,2,7,0,13,11,"2/9/2016"
"7","Other (HUD)",716975,418253,3147160,"12/4/2015",1,2,2,2,0,7,7,"12/4/2015"
"8","Other (HUD)",741801,311478,3430946,"2/9/2016",1,3,2,7,0,13,11,"2/9/2016"
"9","Other (HUD)",820762,311478,3430946,"2/9/2016",1,3,2,7,0,13,11,"2/9/2016"
"10","PH - Permanent Supportive Housing (disability required for entry) (HUD)",796700,311478,3430946,"2/9/2016",1,3,2,7,0,13,11,"2/9/2016"
"11","PH - Permanent Supportive Housing (disability required for entry) (HUD)",698126,393206,1651621,"2/11/2015",1,2,2,4,0,9,9,"2/11/2015"
"12","Emergency Shelter (HUD)",726243,303411,1656051,"2/12/2015",1,0,2,0,0,3,3,"2/12/2015"
"13","Emergency Shelter (HUD)",726257,302362,1655784,"2/12/2015",1,0,0,0,0,1,1,"2/12/2015"
"14","Emergency Shelter (HUD)",729156,302362,1655784,"2/12/2015",1,0,0,0,0,1,1,"2/12/2015"
"15","Emergency Shelter (HUD)",731848,333867,1655897,"2/12/2015",1,3,2,5,0,11,10,"2/12/2015"
"16","Emergency Shelter (HUD)",736442,302362,1655784,"2/12/2015",1,0,0,0,0,1,1,"2/12/2015"
"17","Emergency Shelter (HUD)",737061,302362,1655784,"2/12/2015",1,0,0,0,0,1,1,"2/12/2015"
"18","Emergency Shelter (HUD)",737067,333867,1655897,"2/12/2015",1,3,2,5,0,11,10,"2/12/2015"
"19","Emergency Shelter (HUD)",737488,333867,1655897,"2/12/2015",1,3,2,5,0,11,10,"2/12/2015"
"20","Emergency Shelter (HUD)",738532,333867,1655897,"2/12/2015",1,3,2,5,0,11,10,"2/12/2015"
"21","Emergency Shelter (HUD)",739512,333867,1655897,"2/12/2015",1,3,2,5,0,11,10,"2/12/2015"
"22","Emergency Shelter (HUD)",740005,302362,1655784,"2/12/2015",1,0,0,0,0,1,1,"2/12/2015"
"23","Emergency Shelter (HUD)",741533,303411,1656051,"2/12/2015",1,0,2,0,0,3,3,"2/12/2015"
"24","Emergency Shelter (HUD)",743190,302362,1655784,"2/12/2015",1,0,0,0,0,1,1,"2/12/2015"
"25","Emergency Shelter (HUD)",747105,333867,1655897,"2/12/2015",1,3,2,5,0,11,10,"2/12/2015"
"26","Emergency Shelter (HUD)",747993,303411,1656051,"2/12/2015",1,0,2,0,0,3,3,"2/12/2015"
"27","Emergency Shelter (HUD)",750806,303411,1656051,"2/12/2015",1,0,2,0,0,3,3,"2/12/2015"
"28","Emergency Shelter (HUD)",751352,303411,1656051,"2/12/2015",1,0,2,0,0,3,3,"2/12/2015"
"29","Emergency Shelter (HUD)",751390,333867,1655897,"2/12/2015",1,3,2,5,0,11,10,"2/12/2015"
"30","Emergency Shelter (HUD)",752836,333867,1655897,"2/12/2015",1,3,2,5,0,11,10,"2/12/2015"
"31","Emergency Shelter (HUD)",753794,333867,1655897,"2/12/2015",1,3,2,5,0,11,10,"2/12/2015"
"32","Emergency Shelter (HUD)",754333,333867,1655897,"2/12/2015",1,3,2,5,0,11,10,"2/12/2015"
"33","Emergency Shelter (HUD)",755331,303411,1656051,"2/12/2015",1,0,2,0,0,3,3,"2/12/2015"
"34","Emergency Shelter (HUD)",755721,303411,1656051,"2/12/2015",1,0,2,0,0,3,3,"2/12/2015"
"35","Emergency Shelter (HUD)",758140,333867,1655897,"2/12/2015",1,3,2,5,0,11,10,"2/12/2015"
"36","Emergency Shelter (HUD)",758524,333867,1655897,"2/12/2015",1,3,2,5,0,11,10,"2/12/2015"
"37","Emergency Shelter (HUD)",759466,303411,1656051,"2/12/2015",1,0,2,0,0,3,3,"2/12/2015"
"38","Emergency Shelter (HUD)",759532,333867,1655897,"2/12/2015",1,3,2,5,0,11,10,"2/12/2015"
"39","Emergency Shelter (HUD)",762105,333867,1655897,"2/12/2015",1,3,2,5,0,11,10,"2/12/2015"
"40","Emergency Shelter (HUD)",762145,303411,1656051,"2/12/2015",1,0,2,0,0,3,3,"2/12/2015"
"41","Emergency Shelter (HUD)",762582,333867,1655897,"2/12/2015",1,3,2,5,0,11,10,"2/12/2015"
"42","Emergency Shelter (HUD)",762982,333867,1655897,"2/12/2015",1,3,2,5,0,11,10,"2/12/2015"
"43","Emergency Shelter (HUD)",763388,333867,1655897,"2/12/2015",1,3,2,5,0,11,10,"2/12/2015"
"44","Emergency Shelter (HUD)",798453,303411,1656051,"2/12/2015",1,0,2,0,0,3,3,"2/12/2015"
"45","Emergency Shelter (HUD)",798469,333867,1655897,"2/12/2015",1,3,2,5,0,11,10,"2/12/2015"
"46","Emergency Shelter (HUD)",798501,302362,1655784,"2/12/2015",1,0,0,0,0,1,1,"2/12/2015"
"47","Emergency Shelter (HUD)",799746,303411,1656051,"2/12/2015",1,0,2,0,0,3,3,"2/12/2015"
"48","Emergency Shelter (HUD)",800105,302362,1655784,"2/12/2015",1,0,0,0,0,1,1,"2/12/2015"
"49","Emergency Shelter (HUD)",800243,303411,1656051,"2/12/2015",1,0,2,0,0,3,3,"2/12/2015"
"50","Emergency Shelter (HUD)",834383,303411,1656051,"2/12/2015",1,0,2,0,0,3,3,"2/12/2015"
"51","Emergency Shelter (HUD)",834848,333867,1655897,"2/12/2015",1,3,2,5,0,11,10,"2/12/2015"
"52","Emergency Shelter (HUD)",837654,333867,1655897,"2/12/2015",1,3,2,5,0,11,10,"2/12/2015"
"53","Emergency Shelter (HUD)",839250,333867,1655897,"2/12/2015",1,3,2,5,0,11,10,"2/12/2015"
"54","Emergency Shelter (HUD)",840059,333867,1655897,"2/12/2015",1,3,2,5,0,11,10,"2/12/2015"
"55","Emergency Shelter (HUD)",840818,333867,1655897,"2/12/2015",1,3,2,5,0,11,10,"2/12/2015"
"56","Other (HUD)",625795,324549,1655584,"1/26/2015",1,4,3,5,0,13,13,"2/12/2015"
"57","Other (HUD)",633725,303411,1656051,"2/12/2015",1,0,2,0,0,3,3,"2/12/2015"
"58","Other (HUD)",660072,218033,1976279,"4/27/2015",1,4,2,4,0,11,11,"4/27/2015"
"59","Other (HUD)",706041,333867,1655897,"2/12/2015",1,3,2,5,0,11,10,"2/12/2015"
"60","Other (HUD)",831993,333867,1655897,"2/12/2015",1,3,2,5,0,11,10,"2/12/2015"
"61","PH - Permanent Supportive Housing (disability required for entry) (HUD)",652299,331581,1655612,"2/12/2015",0,2,1,1,1,5,5,"2/12/2015"
"62","PH - Permanent Supportive Housing (disability required for entry) (HUD)",824236,218033,1976279,"4/27/2015",1,4,2,4,0,11,11,"4/27/2015"
"63","Coordinated Assessment (HUD)",766604,322235,2307189,"7/24/2015",1,3,4,3,0,11,11,"7/24/2015"
"64","Emergency Shelter (HUD)",725862,322235,2307189,"7/24/2015",1,3,4,3,0,11,11,"7/24/2015"
"65","Emergency Shelter (HUD)",739082,322235,2307189,"7/24/2015",1,3,4,3,0,11,11,"7/24/2015"
"66","Emergency Shelter (HUD)",739492,322235,2307189,"7/24/2015",1,3,4,3,0,11,11,"7/24/2015"
"67","Emergency Shelter (HUD)",740977,322235,2307189,"7/24/2015",1,3,4,3,0,11,11,"7/24/2015"
"68","Emergency Shelter (HUD)",743753,322235,2307189,"7/24/2015",1,3,4,3,0,11,11,"7/24/2015"
"69","Emergency Shelter (HUD)",800229,322235,2307189,"7/24/2015",1,3,4,3,0,11,11,"7/24/2015"
"70","Other (HUD)",675022,304284,2203005,"6/30/2015",1,3,3,4,0,11,11,"7/1/2015"
"71","Other (HUD)",718224,322235,2307189,"7/24/2015",1,3,4,3,0,11,11,"7/24/2015"
"72","Other (HUD)",733454,322235,2307189,"7/24/2015",1,3,4,3,0,11,11,"7/24/2015"
"73","Other (HUD)",766605,322235,2307189,"7/24/2015",1,3,4,3,0,11,11,"7/24/2015"
"74","PH - Permanent Supportive Housing (disability required for entry) (HUD)",804393,304284,2203005,"6/30/2015",1,3,3,4,0,11,11,"7/1/2015"
"75","PH - Rapid Re-Housing (HUD)",768767,322235,2307189,"7/24/2015",1,3,4,3,0,11,11,"7/24/2015"
"76","Street Outreach (HUD)",675350,304284,2203005,"6/30/2015",1,3,3,4,0,11,11,"7/1/2015"
"77","Street Outreach (HUD)",680121,322235,2307189,"7/24/2015",1,3,4,3,0,11,11,"7/24/2015"
"78","Coordinated Assessment (HUD)",678320,405351,2278774,"1/31/2015",1,1,1,1,0,4,4,"7/20/2015"
"79","Coordinated Assessment (HUD)",681656,349444,2319456,"7/27/2015",1,2,3,4,1,11,11,"7/28/2015"
"80","Coordinated Assessment (HUD)",681656,349444,3285111,"1/5/2016",1,3,2,2,1,9,9,"1/5/2016"
"81","Coordinated Assessment (HUD)",703628,411688,2621816,"9/17/2015",1,3,4,7,0,15,15,"9/18/2015"
"82","Coordinated Assessment (HUD)",741898,303409,1961668,"4/22/2015",1,2,2,1,0,6,6,"4/22/2015"
"83","Coordinated Assessment (HUD)",741898,303409,3433670,"2/9/2016",1,4,2,4,0,11,11,"2/9/2016"
"84","Coordinated Assessment (HUD)",742433,156289,3439700,"2/10/2016",1,2,4,5,0,12,12,"2/10/2016"
"85","Coordinated Assessment (HUD)",766604,322235,1796601,"3/17/2015",1,2,1,1,0,5,5,"3/17/2015"
"86","Coordinated Assessment (HUD)",766604,322235,2445905,"7/24/2015",0,3,4,3,0,10,10,"8/20/2015"
"87","Coordinated Assessment (HUD)",766604,322235,3164104,"12/8/2015",1,2,2,2,0,7,7,"12/8/2015"
"88","Coordinated Assessment (HUD)",766604,322235,3345699,"1/20/2016",1,2,4,4,0,11,11,"1/20/2016"
